Call Failure,Complains,Subscription Length,Charge Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Churn
21.0,1.0,36.0,8,,,,42.0,0
13.0,0.0,36.0,1,5818.0,98.0,26.0,24.0,1
,,34.0,0,2840.0,22.0,,14.0,0
9.0,,35.0,0,,41.0,9.0,16.0,1
9.0,0.0,36.0,0,2268.0,44.0,34.0,31.0,1
0.0,0.0,36.0,0,133.0,2.0,0.0,2.0,1
1.0,0.0,36.0,0,1668.0,25.0,0.0,6.0,0
3.0,0.0,33.0,1,6785.0,97.0,14.0,22.0,0
0.0,0.0,,0,628.0,7.0,9.0,4.0,1
0.0,,36.0,1,338.0,4.0,,2.0,0
25.0,0.0,31.0,3,16075.0,,0.0,80.0,0
6.0,0.0,34.0,3,6965.0,,271.0,33.0,0
2.0,0.0,36.0,0,3718.0,,,28.0,0
,,,0,1665.0,,38.0,,0
6.0,0.0,36.0,0,,53.0,175.0,23.0,0
4.0,1.0,27.0,1,,36.0,193.0,11.0,1
4.0,0.0,26.0,0,1568.0,39.0,30.0,68.0,0
11.0,0.0,27.0,0,,25.0,10.0,7.0,0
,,26.0,0,825.0,10.0,21.0,3.0,0
10.0,0.0,25.0,0,1225.0,32.0,19.0,13.0,0
2.0,0.0,25.0,0,3225.0,,8.0,23.0,0
2.0,0.0,18.0,0,,26.0,,14.0,0
16.0,0.0,17.0,1,6392.0,141.0,85.0,,0
,0.0,15.0,0,8932.0,171.0,73.0,,0
8.0,0.0,16.0,3,2852.0,45.0,,19.0,0
2.0,0.0,9.0,1,,,,10.0,0
3.0,0.0,9.0,1,1487.0,19.0,0.0,7.0,1
8.0,0.0,38.0,0,4370.0,71.0,,17.0,0
0.0,,39.0,0,318.0,5.0,7.0,4.0,0
10.0,0.0,,0,2453.0,60.0,359.0,24.0,0
,0.0,38.0,0,4198.0,66.0,1.0,,0
3.0,0.0,38.0,0,2393.0,,,33.0,0
11.0,0.0,,1,3775.0,82.0,32.0,28.0,0
4.0,,38.0,0,2360.0,39.0,285.0,,0
13.0,0.0,37.0,2,9115.0,121.0,144.0,,0
7.0,0.0,38.0,0,13773.0,,0.0,,0
7.0,0.0,38.0,1,4515.0,,,25.0,0
,,38.0,0,5918.0,95.0,7.0,12.0,0
9.0,1.0,38.0,0,,54.0,8.0,,0
,0.0,38.0,3,15140.0,225.0,54.0,32.0,0
4.0,0.0,38.0,1,3095.0,27.0,483.0,8.0,0
,0.0,37.0,0,,182.0,150.0,30.0,0
3.0,0.0,37.0,1,6500.0,86.0,186.0,26.0,0
0.0,0.0,37.0,0,875.0,14.0,0.0,,0
2.0,,38.0,0,,14.0,13.0,8.0,0
0.0,0.0,37.0,0,0.0,0.0,0.0,0.0,1
3.0,0.0,37.0,0,,,,43.0,0
7.0,0.0,37.0,1,11465.0,154.0,11.0,47.0,0
8.0,0.0,37.0,1,,,108.0,37.0,0
,1.0,33.0,0,955.0,,,17.0,1
21.0,0.0,36.0,8,10435.0,93.0,,42.0,0
13.0,1.0,36.0,1,5818.0,98.0,,,1
1.0,0.0,34.0,0,2840.0,,0.0,,0
,0.0,35.0,0,2990.0,41.0,9.0,16.0,1
9.0,0.0,36.0,0,2268.0,,34.0,31.0,1
0.0,,36.0,0,133.0,2.0,0.0,2.0,1
1.0,,36.0,0,1668.0,25.0,0.0,,0
,0.0,33.0,1,6785.0,97.0,14.0,22.0,0
,0.0,36.0,0,628.0,7.0,9.0,4.0,1
0.0,,36.0,1,,4.0,4.0,2.0,0
25.0,1.0,31.0,3,,238.0,0.0,80.0,0
6.0,0.0,34.0,3,6965.0,,271.0,,0
2.0,0.0,36.0,0,3718.0,82.0,2.0,,0
3.0,0.0,,0,1665.0,44.0,,,0
,0.0,36.0,0,2780.0,53.0,175.0,23.0,0
4.0,0.0,27.0,1,1315.0,36.0,193.0,11.0,0
4.0,0.0,26.0,0,,39.0,30.0,,0
11.0,0.0,27.0,0,700.0,25.0,10.0,7.0,0
0.0,0.0,26.0,0,825.0,10.0,21.0,3.0,0
10.0,0.0,25.0,0,1225.0,,19.0,13.0,0
2.0,0.0,25.0,0,3225.0,,8.0,,0
2.0,0.0,18.0,0,,,28.0,14.0,0
16.0,0.0,17.0,1,,141.0,85.0,42.0,0
12.0,0.0,15.0,0,8932.0,171.0,,40.0,0
,,16.0,3,2852.0,45.0,31.0,19.0,0
2.0,0.0,,1,4390.0,40.0,215.0,,0
3.0,1.0,,1,,19.0,0.0,7.0,1
,,36.0,0,,,0.0,,0
0.0,0.0,37.0,0,0.0,0.0,0.0,0.0,0
5.0,0.0,35.0,0,2148.0,54.0,352.0,22.0,0
5.0,0.0,36.0,0,3893.0,60.0,0.0,33.0,0
,0.0,,0,2088.0,52.0,0.0,31.0,0
6.0,,36.0,0,,76.0,25.0,26.0,0
0.0,0.0,36.0,0,2055.0,,,16.0,0
8.0,,35.0,1,8810.0,115.0,137.0,,0
2.0,0.0,36.0,0,13468.0,163.0,0.0,,0
,0.0,36.0,0,4210.0,77.0,0.0,23.0,0
1.0,,36.0,0,5613.0,89.0,0.0,,0
4.0,0.0,36.0,0,1933.0,,1.0,15.0,0
20.0,0.0,36.0,2,14835.0,219.0,47.0,30.0,0
0.0,0.0,,0,2790.0,21.0,476.0,6.0,0
4.0,0.0,35.0,0,15180.0,176.0,143.0,28.0,0
0.0,0.0,,0,6195.0,80.0,,24.0,0
0.0,0.0,35.0,0,570.0,8.0,,9.0,0
0.0,0.0,36.0,0,405.0,8.0,6.0,6.0,0
0.0,,35.0,0,0.0,,0.0,,1
0.0,0.0,,0,7203.0,121.0,377.0,41.0,0
,0.0,35.0,0,11160.0,148.0,4.0,45.0,0
3.0,0.0,35.0,0,,,101.0,,0
18.0,0.0,31.0,0,650.0,41.0,,15.0,1
16.0,0.0,34.0,7,10130.0,,0.0,40.0,0
8.0,1.0,34.0,0,5513.0,92.0,19.0,,1
0.0,0.0,32.0,0,,16.0,,12.0,0
4.0,0.0,33.0,0,,,2.0,14.0,1
,0.0,34.0,0,1963.0,38.0,27.0,,1
0.0,1.0,,0,,0.0,0.0,0.0,1
0.0,0.0,34.0,0,1363.0,19.0,0.0,4.0,0
0.0,0.0,,0,6480.0,91.0,7.0,20.0,0
0.0,0.0,34.0,0,323.0,,2.0,2.0,1
,0.0,34.0,0,0.0,0.0,0.0,,0
20.0,,,2,,232.0,0.0,,0
1.0,0.0,32.0,2,6660.0,110.0,264.0,,0
,,34.0,0,3413.0,76.0,0.0,26.0,0
0.0,0.0,33.0,0,1360.0,,31.0,18.0,0
1.0,0.0,34.0,0,2475.0,,168.0,,0
0.0,1.0,25.0,0,1010.0,30.0,186.0,9.0,1
0.0,0.0,24.0,0,1263.0,33.0,23.0,66.0,0
6.0,0.0,25.0,0,395.0,19.0,,,0
0.0,0.0,24.0,0,520.0,,14.0,1.0,0
5.0,,23.0,0,920.0,26.0,12.0,,0
0.0,,23.0,0,2920.0,55.0,1.0,21.0,0
0.0,0.0,16.0,0,1390.0,20.0,21.0,12.0,0
,0.0,15.0,0,6088.0,,,40.0,0
7.0,,13.0,0,8628.0,,66.0,38.0,0
3.0,0.0,,2,,39.0,24.0,17.0,0
0.0,,,0,,34.0,208.0,8.0,0
0.0,1.0,,0,1183.0,,,5.0,1
,,38.0,0,4125.0,68.0,3.0,17.0,0
0.0,0.0,39.0,0,,2.0,,,0
8.0,0.0,37.0,0,,57.0,,24.0,0
8.0,0.0,38.0,0,3953.0,63.0,0.0,,0
1.0,0.0,,0,2148.0,55.0,0.0,33.0,0
9.0,0.0,38.0,1,,79.0,30.0,28.0,0
2.0,0.0,38.0,0,2115.0,36.0,283.0,18.0,0
11.0,,37.0,2,,,142.0,43.0,0
5.0,0.0,38.0,0,13528.0,,0.0,44.0,0
5.0,,,1,4270.0,80.0,0.0,25.0,0
4.0,0.0,38.0,0,5673.0,,5.0,12.0,0
7.0,0.0,38.0,0,1993.0,51.0,6.0,17.0,0
23.0,,38.0,3,14895.0,222.0,52.0,32.0,0
2.0,0.0,38.0,1,,24.0,481.0,8.0,0
,0.0,,0,15240.0,,148.0,,0
1.0,0.0,,1,6255.0,83.0,,26.0,0
0.0,0.0,37.0,0,630.0,11.0,0.0,11.0,0
,0.0,38.0,0,465.0,11.0,,8.0,0
0.0,,37.0,0,0.0,,0.0,0.0,1
1.0,0.0,37.0,0,7263.0,124.0,,43.0,0
5.0,0.0,37.0,1,11220.0,151.0,9.0,47.0,0
6.0,0.0,37.0,1,6473.0,72.0,106.0,37.0,0
21.0,,33.0,0,710.0,,14.0,17.0,1
19.0,,,8,,90.0,0.0,42.0,0
11.0,1.0,36.0,1,5573.0,95.0,24.0,24.0,1
0.0,0.0,34.0,0,,,0.0,14.0,0
7.0,0.0,35.0,0,2745.0,38.0,7.0,16.0,1
7.0,,36.0,0,2023.0,41.0,32.0,31.0,1
0.0,0.0,36.0,0,0.0,0.0,0.0,0.0,1
0.0,0.0,36.0,0,1423.0,22.0,0.0,6.0,0
1.0,0.0,33.0,1,6540.0,94.0,12.0,22.0,0
0.0,0.0,36.0,0,383.0,4.0,7.0,4.0,1
0.0,,36.0,1,,,2.0,2.0,0
23.0,0.0,,3,15830.0,235.0,0.0,80.0,0
4.0,0.0,34.0,3,6720.0,113.0,269.0,33.0,0
0.0,0.0,,0,3473.0,79.0,0.0,28.0,0
1.0,0.0,35.0,0,1420.0,,36.0,,0
4.0,0.0,36.0,0,2535.0,50.0,173.0,23.0,0
2.0,1.0,,1,1070.0,33.0,191.0,11.0,0
2.0,,26.0,0,1323.0,36.0,28.0,,0
9.0,0.0,27.0,0,455.0,22.0,8.0,,0
0.0,,,0,580.0,7.0,19.0,3.0,0
8.0,0.0,,0,980.0,29.0,,,0
0.0,,,0,,58.0,6.0,23.0,0
0.0,0.0,18.0,0,1450.0,23.0,26.0,14.0,0
14.0,1.0,17.0,1,6148.0,138.0,83.0,42.0,0
,0.0,15.0,0,,168.0,71.0,40.0,0
6.0,,16.0,3,2608.0,,,,0
0.0,0.0,9.0,1,4145.0,,213.0,10.0,0
1.0,,9.0,1,1243.0,16.0,0.0,7.0,1
,0.0,34.0,0,4005.0,,0.0,13.0,0
0.0,0.0,35.0,0,0.0,,0.0,0.0,0
,0.0,33.0,0,,,347.0,20.0,0
2.0,0.0,34.0,0,3833.0,,0.0,31.0,0
,0.0,34.0,0,2028.0,49.0,0.0,29.0,0
3.0,0.0,34.0,0,3410.0,,20.0,24.0,0
0.0,,34.0,0,1995.0,,273.0,14.0,0
5.0,0.0,33.0,0,,112.0,132.0,39.0,0
0.0,0.0,,0,13408.0,,0.0,40.0,0
0.0,,34.0,0,4150.0,74.0,0.0,21.0,0
0.0,0.0,,0,5553.0,86.0,,8.0,0
1.0,0.0,34.0,0,1873.0,45.0,0.0,13.0,0
17.0,0.0,,1,14775.0,216.0,42.0,28.0,0
0.0,0.0,34.0,0,2730.0,18.0,471.0,4.0,0
1.0,0.0,33.0,0,,,138.0,,0
,,33.0,0,,77.0,174.0,22.0,0
0.0,0.0,33.0,0,510.0,5.0,0.0,,0
0.0,,34.0,0,,5.0,1.0,4.0,0
,0.0,33.0,0,0.0,0.0,0.0,0.0,1
0.0,,33.0,0,7143.0,118.0,372.0,39.0,0
0.0,0.0,33.0,0,11100.0,145.0,0.0,,0
0.0,,33.0,0,6353.0,66.0,96.0,33.0,0
15.0,0.0,29.0,0,590.0,,,13.0,1
13.0,0.0,32.0,6,10070.0,84.0,0.0,,0
5.0,,32.0,0,5453.0,89.0,14.0,20.0,1
0.0,0.0,,0,2475.0,13.0,0.0,10.0,0
,1.0,31.0,0,2625.0,,0.0,12.0,1
,0.0,32.0,0,1903.0,35.0,22.0,27.0,1
0.0,1.0,32.0,0,0.0,,0.0,0.0,1
0.0,,32.0,0,1303.0,16.0,0.0,2.0,0
,0.0,29.0,0,6420.0,88.0,2.0,18.0,0
0.0,0.0,32.0,0,263.0,1.0,0.0,1.0,1
0.0,0.0,32.0,0,0.0,0.0,0.0,,0
17.0,0.0,27.0,1,15710.0,229.0,,76.0,0
,0.0,30.0,1,,107.0,259.0,29.0,0
0.0,0.0,32.0,0,3353.0,73.0,0.0,24.0,0
0.0,,31.0,0,1300.0,35.0,26.0,,0
0.0,0.0,,0,,,163.0,19.0,0
0.0,0.0,23.0,0,950.0,27.0,181.0,7.0,0
,,,0,,,18.0,64.0,0
3.0,0.0,23.0,0,335.0,16.0,,,0
0.0,0.0,22.0,0,0.0,0.0,,0.0,0
,0.0,21.0,0,860.0,23.0,7.0,,0
0.0,0.0,21.0,0,2860.0,52.0,0.0,19.0,0
0.0,0.0,,0,1330.0,17.0,,,0
8.0,,13.0,0,6028.0,132.0,73.0,38.0,0
4.0,0.0,11.0,0,8568.0,162.0,61.0,,0
0.0,0.0,,1,2488.0,36.0,19.0,15.0,0
,,5.0,0,,31.0,203.0,,0
0.0,,5.0,0,,10.0,0.0,3.0,1
4.0,0.0,40.0,0,4145.0,67.0,,19.0,0
0.0,0.0,41.0,0,93.0,,10.0,6.0,0
,0.0,39.0,0,2228.0,56.0,,,0
,0.0,40.0,0,,62.0,4.0,,0
0.0,0.0,40.0,0,2168.0,54.0,5.0,,0
7.0,0.0,40.0,1,3550.0,78.0,35.0,30.0,0
0.0,0.0,,0,2135.0,35.0,288.0,20.0,0
,0.0,,2,8890.0,117.0,147.0,45.0,0
3.0,0.0,,0,13548.0,,3.0,,0
3.0,0.0,40.0,1,4290.0,,5.0,27.0,0
2.0,0.0,,0,5693.0,91.0,10.0,14.0,0
5.0,0.0,40.0,0,2013.0,50.0,11.0,19.0,0
21.0,,40.0,3,14915.0,,57.0,34.0,0
,,,1,2870.0,23.0,486.0,10.0,0
,,39.0,0,15260.0,178.0,153.0,32.0,0
0.0,0.0,39.0,1,,,189.0,28.0,0
,0.0,39.0,0,650.0,10.0,3.0,13.0,0
,0.0,40.0,0,485.0,10.0,16.0,10.0,0
,0.0,39.0,0,0.0,0.0,,0.0,1
0.0,0.0,39.0,0,7283.0,123.0,,45.0,0
3.0,0.0,,1,11240.0,150.0,14.0,49.0,0
4.0,0.0,39.0,1,6493.0,71.0,111.0,39.0,0
19.0,0.0,,0,730.0,,19.0,19.0,1
,0.0,,8,10210.0,89.0,4.0,44.0,0
9.0,0.0,38.0,1,,94.0,29.0,26.0,1
,,36.0,0,2615.0,18.0,3.0,16.0,0
5.0,,37.0,0,2765.0,,12.0,,1
5.0,0.0,38.0,0,2043.0,40.0,37.0,33.0,1
,0.0,38.0,0,0.0,0.0,,0.0,1
0.0,0.0,38.0,0,1443.0,,,8.0,0
0.0,0.0,35.0,1,6560.0,93.0,17.0,24.0,0
0.0,1.0,38.0,0,403.0,3.0,12.0,6.0,1
0.0,,38.0,1,0.0,0.0,7.0,0.0,0
21.0,0.0,33.0,3,15850.0,234.0,,82.0,0
2.0,0.0,36.0,3,6740.0,,274.0,35.0,0
0.0,0.0,38.0,0,3493.0,,,30.0,0
0.0,,37.0,0,,40.0,41.0,22.0,0
2.0,,38.0,0,,49.0,178.0,25.0,0
0.0,0.0,,1,1090.0,32.0,196.0,13.0,0
,,28.0,0,1343.0,,33.0,70.0,0
,0.0,,0,475.0,21.0,,,0
0.0,0.0,28.0,0,,6.0,24.0,5.0,0
6.0,0.0,,0,1000.0,,22.0,15.0,0
0.0,0.0,,0,3000.0,,,25.0,0
0.0,0.0,20.0,0,1470.0,22.0,,,0
12.0,0.0,19.0,1,,137.0,,44.0,0
8.0,0.0,17.0,0,8708.0,167.0,76.0,42.0,0
4.0,0.0,18.0,3,2628.0,,34.0,21.0,0
0.0,,,1,4165.0,36.0,218.0,12.0,0
0.0,1.0,11.0,1,1263.0,15.0,,9.0,1
2.0,0.0,32.0,0,,63.0,,,0
0.0,0.0,33.0,0,0.0,0.0,0.0,0.0,0
4.0,0.0,31.0,0,2068.0,52.0,342.0,18.0,0
,0.0,32.0,0,,58.0,0.0,29.0,0
0.0,,32.0,0,2008.0,50.0,,27.0,0
5.0,,,0,3390.0,74.0,15.0,22.0,0
0.0,,32.0,0,1975.0,31.0,268.0,,0
,0.0,,0,8730.0,113.0,127.0,37.0,0
1.0,0.0,,0,13388.0,161.0,0.0,38.0,0
1.0,,32.0,0,4130.0,75.0,0.0,19.0,0
0.0,0.0,32.0,0,5533.0,87.0,0.0,6.0,0
3.0,0.0,32.0,0,1853.0,,0.0,11.0,0
19.0,0.0,32.0,1,14755.0,,37.0,,0
0.0,0.0,32.0,0,2710.0,19.0,466.0,2.0,0
3.0,0.0,31.0,0,15100.0,174.0,133.0,24.0,0
0.0,,31.0,0,6115.0,78.0,169.0,20.0,0
0.0,0.0,31.0,0,490.0,6.0,,5.0,0
0.0,0.0,32.0,0,325.0,,,2.0,0
0.0,,,0,0.0,0.0,,0.0,1
0.0,0.0,31.0,0,7123.0,119.0,367.0,37.0,0
1.0,,31.0,0,,146.0,0.0,41.0,0
2.0,,31.0,0,6333.0,67.0,91.0,31.0,0
17.0,0.0,27.0,0,570.0,39.0,0.0,11.0,1
15.0,0.0,30.0,6,10050.0,85.0,0.0,36.0,0
,0.0,30.0,0,5433.0,90.0,,18.0,1
,,28.0,0,2455.0,14.0,0.0,8.0,0
3.0,1.0,29.0,0,2605.0,33.0,0.0,10.0,1
,0.0,,0,1883.0,36.0,17.0,25.0,1
0.0,0.0,30.0,0,0.0,0.0,0.0,0.0,1
0.0,0.0,30.0,0,1283.0,,0.0,5.0,0
,0.0,27.0,0,6400.0,,0.0,,0
0.0,1.0,30.0,0,0.0,0.0,0.0,0.0,1
,0.0,30.0,0,0.0,0.0,0.0,0.0,0
19.0,0.0,25.0,1,15690.0,230.0,,74.0,0
0.0,,28.0,1,,108.0,254.0,,0
0.0,0.0,30.0,0,3333.0,74.0,,22.0,0
0.0,0.0,29.0,0,1280.0,,21.0,,0
0.0,,30.0,0,2395.0,,158.0,,0
0.0,0.0,21.0,0,930.0,28.0,,5.0,0
0.0,0.0,20.0,0,1183.0,,13.0,,0
5.0,0.0,21.0,0,315.0,17.0,0.0,,0
0.0,,20.0,0,,0.0,4.0,0.0,0
,0.0,19.0,0,840.0,24.0,2.0,7.0,0
0.0,,,0,2840.0,,0.0,17.0,0
0.0,0.0,12.0,0,1310.0,,11.0,8.0,0
10.0,0.0,11.0,0,6008.0,,68.0,,0
6.0,0.0,9.0,0,8548.0,163.0,56.0,34.0,0
2.0,0.0,,1,2468.0,,14.0,13.0,0
0.0,0.0,3.0,0,,32.0,198.0,4.0,0
0.0,,,0,1103.0,11.0,0.0,1.0,1
,0.0,42.0,0,4325.0,75.0,13.0,21.0,0
0.0,0.0,43.0,0,,9.0,,8.0,0
10.0,0.0,41.0,0,2408.0,64.0,367.0,28.0,0
10.0,0.0,42.0,0,4153.0,70.0,9.0,39.0,0
3.0,0.0,42.0,0,2348.0,,,37.0,0
11.0,0.0,,1,3730.0,86.0,40.0,32.0,0
4.0,0.0,42.0,0,2315.0,,293.0,22.0,0
,0.0,41.0,2,9070.0,125.0,152.0,47.0,0
7.0,0.0,42.0,0,13728.0,,8.0,48.0,0
,0.0,42.0,1,,87.0,,29.0,0
6.0,0.0,42.0,0,,,15.0,,0
9.0,1.0,42.0,0,2193.0,58.0,16.0,21.0,0
25.0,0.0,,3,15095.0,229.0,62.0,,0
4.0,0.0,42.0,1,,31.0,,12.0,0
9.0,0.0,41.0,0,15440.0,186.0,158.0,34.0,0
3.0,0.0,41.0,1,6455.0,,,30.0,0
0.0,0.0,41.0,0,,18.0,8.0,15.0,0
2.0,0.0,42.0,0,665.0,18.0,21.0,,0
0.0,0.0,41.0,0,0.0,0.0,8.0,0.0,1
3.0,0.0,,0,7463.0,,392.0,47.0,0
7.0,0.0,,1,11420.0,158.0,19.0,51.0,0
8.0,0.0,,1,6673.0,79.0,116.0,41.0,0
,1.0,,0,910.0,51.0,24.0,21.0,1
21.0,,40.0,8,10390.0,97.0,9.0,46.0,0
,0.0,,1,5773.0,,34.0,,0
1.0,0.0,,0,2795.0,26.0,8.0,18.0,0
9.0,1.0,39.0,0,,,17.0,20.0,1
,0.0,,0,2223.0,,,35.0,1
0.0,0.0,40.0,0,88.0,6.0,8.0,6.0,1
,0.0,40.0,0,1623.0,,8.0,10.0,0
3.0,,37.0,1,6740.0,101.0,22.0,26.0,0
0.0,1.0,40.0,0,583.0,11.0,17.0,,1
0.0,,40.0,1,293.0,8.0,,6.0,0
25.0,0.0,35.0,3,,242.0,8.0,84.0,0
6.0,,,3,6920.0,120.0,279.0,37.0,0
,,40.0,0,3673.0,86.0,10.0,,0
3.0,0.0,39.0,0,1620.0,48.0,,,0
,,40.0,0,2735.0,57.0,,27.0,0
4.0,,31.0,1,1270.0,,201.0,,0
4.0,0.0,30.0,0,1523.0,43.0,,72.0,0
11.0,,,0,655.0,29.0,18.0,11.0,0
,0.0,30.0,0,780.0,14.0,29.0,7.0,0
10.0,0.0,,0,1180.0,,27.0,17.0,0
,0.0,29.0,0,3180.0,65.0,16.0,27.0,0
2.0,,22.0,0,1650.0,,,18.0,0
,,21.0,1,6348.0,145.0,93.0,,0
12.0,0.0,19.0,0,8888.0,175.0,,44.0,0
8.0,,20.0,3,2808.0,49.0,,23.0,0
2.0,0.0,13.0,1,4345.0,44.0,223.0,14.0,0
,0.0,13.0,1,1443.0,23.0,,,1
0.0,0.0,30.0,0,3805.0,,0.0,9.0,0
0.0,0.0,31.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,,0,1888.0,44.0,337.0,16.0,0
0.0,,,0,,,0.0,27.0,0
,0.0,30.0,0,,42.0,0.0,25.0,0
1.0,0.0,30.0,0,3210.0,66.0,10.0,20.0,0
0.0,,,0,1795.0,,263.0,10.0,0
3.0,0.0,29.0,0,8550.0,105.0,122.0,35.0,0
0.0,0.0,30.0,0,13208.0,,,36.0,0
0.0,0.0,30.0,0,3950.0,67.0,,17.0,0
0.0,0.0,30.0,0,5353.0,79.0,,4.0,0
0.0,,,0,,38.0,,9.0,0
15.0,0.0,30.0,1,14575.0,209.0,32.0,24.0,0
,0.0,,0,,11.0,461.0,7.0,0
0.0,0.0,29.0,0,14920.0,166.0,,,0
,0.0,29.0,0,,,164.0,18.0,0
0.0,0.0,29.0,0,0.0,0.0,0.0,0.0,0
0.0,,30.0,0,,0.0,0.0,0.0,0
0.0,,29.0,0,0.0,0.0,0.0,0.0,1
0.0,0.0,,0,6943.0,,362.0,,0
0.0,0.0,29.0,0,10900.0,138.0,0.0,39.0,0
,,29.0,0,,59.0,86.0,29.0,0
13.0,1.0,25.0,0,390.0,31.0,0.0,9.0,1
11.0,,28.0,6,9870.0,77.0,,34.0,0
3.0,0.0,28.0,0,5253.0,82.0,4.0,16.0,1
0.0,0.0,26.0,0,2275.0,6.0,0.0,,0
0.0,1.0,,0,,25.0,,,1
0.0,1.0,28.0,0,1703.0,28.0,12.0,,1
,,28.0,0,,0.0,0.0,0.0,1
0.0,0.0,28.0,0,0.0,0.0,0.0,0.0,0
0.0,0.0,25.0,0,6220.0,81.0,0.0,14.0,0
0.0,0.0,28.0,0,0.0,0.0,,0.0,1
0.0,1.0,28.0,0,0.0,0.0,0.0,0.0,1
15.0,0.0,23.0,1,15510.0,222.0,0.0,,0
,0.0,26.0,1,6400.0,100.0,249.0,25.0,0
0.0,0.0,28.0,0,3153.0,66.0,0.0,20.0,0
,0.0,,0,1100.0,,,12.0,0
0.0,0.0,,0,2215.0,37.0,153.0,15.0,0
,0.0,19.0,0,750.0,20.0,171.0,3.0,0
,0.0,18.0,0,1003.0,,,60.0,0
,0.0,19.0,0,,0.0,0.0,0.0,0
,0.0,18.0,0,0.0,0.0,0.0,0.0,0
,,17.0,0,660.0,16.0,0.0,5.0,0
,0.0,17.0,0,2660.0,,0.0,15.0,0
0.0,0.0,10.0,0,,10.0,6.0,6.0,0
6.0,0.0,9.0,0,5828.0,125.0,63.0,34.0,0
2.0,,,0,8368.0,155.0,,,0
0.0,0.0,8.0,1,2288.0,29.0,9.0,11.0,0
0.0,0.0,3.0,0,3825.0,24.0,193.0,2.0,0
0.0,0.0,3.0,0,0.0,0.0,0.0,0.0,1
,0.0,39.0,0,4245.0,73.0,9.0,20.0,0
0.0,0.0,40.0,0,,7.0,11.0,7.0,0
,0.0,38.0,0,2328.0,,363.0,27.0,0
7.0,0.0,39.0,0,,68.0,5.0,38.0,0
0.0,0.0,39.0,0,2268.0,,6.0,36.0,0
8.0,0.0,39.0,0,3650.0,84.0,36.0,,0
1.0,,39.0,0,2235.0,41.0,,21.0,0
10.0,0.0,38.0,1,8990.0,,,46.0,0
,,39.0,0,13648.0,171.0,4.0,47.0,0
4.0,0.0,39.0,0,4390.0,85.0,6.0,28.0,0
3.0,0.0,39.0,0,5793.0,97.0,11.0,15.0,0
6.0,0.0,39.0,0,2113.0,56.0,12.0,20.0,0
22.0,0.0,39.0,2,15015.0,227.0,58.0,35.0,0
1.0,,39.0,0,2970.0,,487.0,,0
6.0,0.0,38.0,0,15360.0,184.0,154.0,,0
0.0,0.0,38.0,0,6375.0,,,,0
0.0,0.0,38.0,0,,16.0,4.0,14.0,0
0.0,,39.0,0,585.0,16.0,17.0,11.0,0
0.0,0.0,38.0,0,,0.0,,,1
,0.0,,0,7383.0,129.0,,,0
4.0,0.0,38.0,0,11340.0,156.0,15.0,50.0,0
5.0,0.0,38.0,0,6593.0,77.0,112.0,,0
20.0,1.0,34.0,0,830.0,49.0,20.0,20.0,1
18.0,0.0,37.0,7,,,5.0,45.0,0
10.0,0.0,37.0,0,5693.0,,30.0,,1
0.0,0.0,35.0,0,2715.0,24.0,,17.0,0
6.0,1.0,36.0,0,,43.0,,19.0,1
6.0,1.0,37.0,0,2143.0,46.0,38.0,34.0,1
0.0,0.0,,0,8.0,,4.0,,1
0.0,,37.0,0,1543.0,27.0,4.0,,0
,,34.0,0,6660.0,99.0,18.0,25.0,0
0.0,1.0,37.0,0,,9.0,13.0,7.0,1
0.0,0.0,37.0,0,213.0,6.0,8.0,5.0,0
22.0,0.0,,2,15950.0,,4.0,83.0,0
3.0,0.0,,2,6840.0,,,36.0,0
0.0,0.0,37.0,0,3593.0,84.0,6.0,31.0,0
0.0,0.0,36.0,0,1540.0,,,23.0,0
3.0,0.0,37.0,0,,55.0,179.0,26.0,0
,0.0,28.0,0,1190.0,38.0,,14.0,0
1.0,0.0,27.0,0,1443.0,41.0,,71.0,0
8.0,0.0,28.0,0,,27.0,14.0,10.0,0
0.0,0.0,,0,700.0,12.0,25.0,,0
7.0,0.0,26.0,0,1100.0,34.0,23.0,,0
0.0,0.0,,0,3100.0,63.0,,26.0,0
,0.0,19.0,0,1570.0,,32.0,17.0,0
13.0,0.0,18.0,0,,143.0,89.0,45.0,0
9.0,,16.0,0,8808.0,173.0,77.0,43.0,0
5.0,0.0,17.0,2,2728.0,47.0,35.0,22.0,0
0.0,,,0,4265.0,42.0,219.0,13.0,0
0.0,1.0,10.0,0,,21.0,4.0,,1
,,33.0,0,,57.0,0.0,10.0,0
0.0,0.0,34.0,0,0.0,0.0,0.0,,0
3.0,0.0,32.0,0,,46.0,341.0,17.0,0
3.0,,,0,3713.0,52.0,0.0,28.0,0
0.0,0.0,33.0,0,1908.0,44.0,0.0,26.0,0
4.0,0.0,33.0,0,3290.0,68.0,14.0,21.0,0
0.0,0.0,,0,1875.0,25.0,,11.0,0
6.0,,,1,8630.0,107.0,126.0,36.0,0
0.0,0.0,,0,13288.0,155.0,0.0,37.0,0
0.0,0.0,33.0,0,4030.0,69.0,0.0,,0
0.0,0.0,33.0,0,5433.0,81.0,0.0,5.0,0
2.0,0.0,33.0,0,1753.0,40.0,,10.0,0
18.0,,33.0,2,,,36.0,25.0,0
,0.0,,0,,,465.0,1.0,0
